epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,18.5828,2.41493,3.64041,1.94648,0.00316,0.20849,0.01326,0.0059,2.42679,3.7864,2.07278,0.00084,0.00028,0.00084,0.00028,0.00084,0.00028,0.00084,0.00028
2,34.2748,2.44008,3.65636,1.96286,0.00322,0.21236,0.01228,0.00621,2.36805,3.72935,1.97987,0.00168258,0.00056086,0.00168258,0.00056086,0.00168258,0.00056086,0.00168258,0.00056086
3,48.2942,2.3673,3.68233,2.00654,0.00333,0.22008,0.01313,0.00648,2.2765,3.67583,1.89795,0.00246576,0.00082192,0.00246576,0.00082192,0.00246576,0.00082192,0.00246576,0.00082192
4,62.5951,2.23279,3.56682,1.74304,0.00345,0.2278,0.01685,0.00795,2.18892,3.62475,1.84254,0.00318954,0.00106318,0.00318954,0.00106318,0.00318954,0.00106318,0.00318954,0.00106318
5,75.7725,2.10062,3.52265,1.73864,0.00398,0.26255,0.02045,0.00903,2.15142,3.59622,1.78481,0.00385392,0.00128464,0.00385392,0.00128464,0.00385392,0.00128464,0.00385392,0.00128464
6,88.9634,2.07649,3.4926,1.77777,0.00409,0.27027,0.02491,0.01052,2.10335,3.56129,1.73487,0.0044589,0.0014863,0.0044589,0.0014863,0.0044589,0.0014863,0.0044589,0.0014863
7,102.125,2.02424,3.79231,1.57105,0.00439,0.28958,0.03481,0.01593,2.03644,3.54679,1.69871,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
8,115.565,2.15942,3.42024,1.6863,0.00509,0.33591,0.0394,0.01867,2.01832,3.47496,1.66611,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
9,128.077,2.09719,3.28406,1.59933,0.14113,0.08108,0.03524,0.0185,2.03106,3.38617,1.63181,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
10,141.333,2.02751,3.2737,1.59137,0.03565,0.10425,0.04145,0.02001,1.97683,3.2813,1.623,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
11,154.378,1.99682,3.2118,1.5899,0.03565,0.10425,0.04145,0.02001,1.97683,3.2813,1.623,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
12,173.118,1.82248,3.4465,1.41439,0.24504,0.06564,0.04649,0.0226,1.90404,3.19968,1.58002,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
13,188.472,2.04975,3.06082,1.49696,0.2379,0.07336,0.0532,0.02614,1.90458,3.11099,1.55777,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
14,206.863,1.90059,2.9583,1.43449,0.38649,0.06178,0.0701,0.03491,1.89047,3.03382,1.53199,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
15,224.249,2.00105,2.90479,1.43208,0.3699,0.08494,0.09465,0.04242,1.86559,2.93075,1.51785,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
16,242.185,1.97973,2.84134,1.4489,0.37889,0.1319,0.12826,0.05316,1.8465,2.81878,1.51542,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
17,261.219,2.04244,2.75988,1.45447,0.38814,0.18615,0.15222,0.06116,1.83657,2.72436,1.51311,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
18,278.856,1.85133,2.61182,1.42884,0.38255,0.23938,0.18115,0.07124,1.83243,2.61687,1.51887,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
19,294.909,2.04607,2.75461,1.4792,0.37746,0.26255,0.19762,0.07328,1.84368,2.53618,1.52981,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
20,312.63,1.97115,2.71406,1.5959,0.34071,0.30116,0.20992,0.07422,1.84131,2.48481,1.52661,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
21,332.407,1.95814,2.87315,1.57894,0.33595,0.32432,0.22443,0.07932,1.84467,2.44844,1.53035,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
22,350.429,2.15886,2.78784,1.55587,0.35058,0.30888,0.23062,0.08069,1.84169,2.45018,1.52026,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
23,368.216,2.06357,2.84987,1.64538,0.35354,0.3166,0.25035,0.08613,1.82949,2.43246,1.50911,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
24,385.453,2.2017,3.21251,1.62933,0.33105,0.3861,0.2655,0.09128,1.81766,2.41027,1.50066,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
25,403.542,1.98648,2.72482,1.53153,0.34302,0.42085,0.27558,0.09488,1.82726,2.34913,1.50695,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
26,422.085,2.05313,2.86947,1.59312,0.36019,0.41699,0.28691,0.10048,1.80378,2.30839,1.4846,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
27,438.271,2.0161,2.58798,1.50285,0.36019,0.41699,0.28691,0.10048,1.80378,2.30839,1.4846,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
28,455.838,2.06768,2.61883,1.60011,0.38537,0.42085,0.30318,0.10364,1.80038,2.29571,1.48092,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
29,471.801,2.04976,2.6425,1.58341,0.37749,0.42085,0.30272,0.10561,1.80874,2.27158,1.48704,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
30,489.277,2.06941,2.6457,1.57912,0.38881,0.42085,0.30891,0.1051,1.80903,2.26223,1.48159,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
